, uploadDate,Collection,Level,Medium,Publisher,Tag,Year,_attachments,_id,_rev,addedBy,articleDate,attachments_md5,author,averageRating,description,filename,fromLevel,hidden,id,isWelcomeVideo,kind,language,linkToLicense,need_optimization,ok,openUrl,openWhichFile,openWith,resourceFor,resourceType,rev,subject,sum,timesRated,title,toLevel,type,uploadDate,views
10,,,[u'Professional'],Video,TeachAIDS,"[u'2cb04e36e7836460c98d481f7e432192', u'f1cedaf7528a34ddd5c5ad00fe5fa9cd', u'01e0dd79c13b3f781de91b3f1e042fc2', u'41d96d20b4c87ffd1545b6d4570178e5']",,"{u'TeachAIDS (Swahili) HIV Prevention Tutorial.mp4': {u'stub': True, u'length': 158122776, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-ILntGX2h7P09iK8P0DO8LQ=='}}",01d06175e030019dfacc0db7bc3f872e,7-fa995425a19fe90fede49891d2c13465,admin,2014-09-16T04:00:00.000Z,,TeachAIDs,,,,,,,,Resource,Sawhili,,,,,,Flow Video Player,,,,[u'Health & Medicine'],0.0,0.0,HIV Prevention Tutorial ,,,2014-09-16T04:00:00.000Z,
11,,,"[u'Upper Primary', u'Lower Secondary', u'Upper Secondary']",Text,,"[u'8a3b420659d5e7c63febeac7c8756f7c', u'c3b4ed2a80fe19ec997587b7d690e361']",,"{u'HumanPopulation.pdf': {u'stub': True, u'length': 191788, u'content_type': u'application/pdf', u'revpos': 4, u'digest': u'md5-gEoGfbgZZhgmByp8OMljXw=='}}",020e4133547b0cf080cba80fb3341332,5-12458e026d52d0d679ee77cd8853a3ae,admin,2014-06-25T04:00:00.000Z,,State Department,,,,,,,,Resource,English,,0.0,,,,PDF.js,,,,[u'Environment'],0.0,0.0,Human Population,,,2014-06-25T04:00:00.000Z,
12,,,[u'Upper Primary'],Video,,"[u'8a3b420659d5e7c63febeac7c8756f7c', u'c3b4ed2a80fe19ec997587b7d690e361', u'845ca5617e959d8a09839f5ccaf6b009', u'01e0dd79c13b3f781de91b3f1e53292e']",,"{u'ImportanceofWater.mp4': {u'stub': True, u'length': 15836431, u'content_type': u'video/mp4', u'revpos': 0, u'digest': u'md5-8VdG1Andvdco3vGSSpKM0Q=='}}",020e4133547b0cf080cba80fb337aa32,4-a18bd7919fe47428c7548962bd6ccf79,admin,2014-06-25T04:00:00.000Z,,Think Garden,,,,,,,,Resource,English,,,,,,Native Video,,,,[u'Environment'],0.0,0.0,Importance of Water,,,2014-06-25T04:00:00.000Z,
13,1397593883603.0,,"[u'Lower Primary', u'Upper Primary']",Text,,"[u'0eba9f2e83d474fd56db94ea2e27a8df', u'845ca5617e959d8a09839f5cca7935a0']",,"{u'Religion & Morality (Levels 1-6).pdf': {u'stub': True, u'length': 350365, u'content_type': u'application/pdf', u'revpos': 6, u'digest': u'md5-Am/mqzZOAsrTCd8QsdnXuw=='}}",02202f3ef5cc65fd3fb7fffd920b2293,7-ab5575410898261d4713a15a61f31607,admin,2014-04-15T04:00:00.000Z,,Liberia,,,,,,,,Resource,English,,0.0,,,,PDF.js,,,,[u'Religion'],0.0,,Libyan Curriculum: Religion and Morality (Levels 1-6),,,2014-04-15T04:00:00.000Z,
14,1397594513193.0,,[u'Lower Secondary'],Text,,"[u'0eba9f2e83d474fd56db94ea2e27a8df', u'2cb04e36e7836460c98d481f7e41c20c', u'41d96d20b4c87ffd1545b6d457025c5b']",2011,"{u'Science (Levels 7-9).pdf': {u'stub': True, u'length': 646192, u'content_type': u'application/pdf', u'revpos': 5, u'digest': u'md5-uxJgsa1OypgLUlfW1iWv6w=='}}",02202f3ef5cc65fd3fb7fffd924e4f96,11-79d79163110f71c363b7e4d9b3cd7b52,admin,2014-04-15T04:00:00.000Z,,"MInistry of Education, Republic of Liberia",,,,,,,,Resource,English,,0.0,,,,PDF.js,Default,,,[u'Science'],0.0,,Liberian National Curriculum for Grades 7 to 9 - Science,,,2014-04-15T04:00:00.000Z,
15,,,[u'Undergraduate'],Text,,"[u'41d96d20b4c87ffd1545b6d45703501a', u'41d96d20b4c87ffd1545b6d4570241bf', u'01e0dd79c13b3f781de91b3f1e51839e']",,"{u'USIP Report on Women in Global Security.pdf': {u'stub': True, u'length': 338425, u'content_type': u'application/pdf', u'revpos': 3, u'digest': u'md5-PbW2cg0XAHKOHysOloMzFQ=='}}",02250566d9671e77b01d757843e2d245,79-fe3ef0082f841bb9fa17de073d84eee8,admin,2014-08-14T04:00:00.000Z,,United States Institute of Peace,,,,,,,,Resource,English,,0.0,,,,PDF.js,,,,[u'Social Sciences'],0.0,0.0,Report: Women in Global Security,,,2014-08-14T04:00:00.000Z,
16,1401726716659.0,,[u'Upper Primary'],Text,,[u'845ca5617e959d8a09839f5cca7935a0'],,"{u'Islamic 6 SA.pdf': {u'stub': True, u'length': 56915686, u'content_type': u'application/pdf', u'revpos': 4, u'digest': u'md5-4PMWRChlCRWqaJl2OO4w8A=='}}",02ba2467757479a4c6c0f1615a64bf93,8-5638f9a20abb232deccfc52d6aa46777,admin,2014-06-02T04:00:00.000Z,,,,,,,,,,Resource,Arabic,,0.0,,,,PDF.js,Default,Textbook,,[u'Religion'],0.0,,التربية الاسلامية الصف السادس,,nation,2014-06-02T04:00:00.000Z,
17,1401726955136.0,,[u'Lower Secondary'],Text,,[u'845ca5617e959d8a09839f5cca7935a0'],,,02ba2467757479a4c6c0f1615accde0e,8-3680a20f40200aef04a83ace28d54988,admin,2014-06-02T04:00:00.000Z,,,,,,,,,,Resource,Arabic,,0.0,,,,PDF.js,Default,Textbook,,[u'Religion'],0.0,,التربية الاسلامية الصف الثامن,,nation,2014-06-02T04:00:00.000Z,
18,1397310105491.0,,[u'Early Education'],Video,,[u'2cb04e36e7836460c98d481f7e498eb2'],,"{u'Kow ilaa Toban.mp4': {u'stub': True, u'length': 5364167, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-V9b+YefCPVAoMa3IfRQC7A=='}}",038fdb78f56811eb67e54425a8f844bf,6-aa60ee0c0efa29a6eefbd62dcaa359a4,admin,2013-03-07T05:00:00.000Z,,Mawleeo,,Learn to count in Somali,,0.0,,,,Resource,Somali,,,,,,Native Video,,,,[u'Math'],0.0,,Kow ilaa Toban,0.0,,2014-01-10T05:00:00.000Z,
19,,,"[u'Early Education', u'Lower Primary', u'Upper Primary', u'Lower Secondary', u'Upper Secondary', u'Undergraduate', u'Graduate', u'Professional']",Text,Hubert H. Humphrey Institute of Public Affairs,"[u'cc11a4c42d45448a344819389963334d', u'41d96d20b4c87ffd1545b6d45702290d']",2004,"{u'International Covenant on Economic, Social and Cultural Rights.pdf': {u'stub': True, u'length': 1013159, u'content_type': u'application/pdf', u'revpos': 3, u'digest': u'md5-64NmWzrIgV3Jzq4wvS4z9Q=='}}",039a921b0547c9d0ba034601beffdd5d,5-f9c22077ae56fc101fbf8a6029d61367,admin,2014-08-20T04:00:00.000Z,,International Women's Rights Action Watch,,,,,,,,Resource,English,,0.0,,,,PDF.js,,,,[u'Social Sciences'],0.0,0.0,"International Covenant on Economic, Social, Cultural Rights: A Guide",,,2014-08-20T04:00:00.000Z,
20,1401731619993.0,,[u'Lower Secondary'],Text,,"[u'cc11a4c42d45448a3448193899622952', u'845ca5617e959d8a09839f5ccab169e4', u'4e63f2e4fa01c6e628567e96a374383d']",,,03dda987d0902d5a67adca79ae90265e,5-130311966ef0b26c0c68e4c2a2f5f43f,admin,2014-06-02T04:00:00.000Z,,,,,,,,,,Resource,Somali,,0.0,,,,PDF.js,,,,[u'Social Sciences'],0.0,,Social Sciences 6th SA,,,2014-06-02T04:00:00.000Z,
21,1401732196460.0,,[u'Lower Primary'],Text,,"[u'cc11a4c42d45448a34481938996c92cb', u'4e63f2e4fa01c6e628567e96a374383d']",,,03dda987d0902d5a67adca79aed61487,5-3ed889954239dd1dcac9f4558c11f536,admin,2014-06-02T04:00:00.000Z,,,,,,,,,,Resource,Somali,,0.0,,,,PDF.js,,,,[u'Languages'],0.0,,Somali 2nd SA,,,2014-06-02T04:00:00.000Z,
22,1397673556594.0,,[u'Lower Secondary'],Text,,"[u'2cb04e36e7836460c98d481f7e432192', u'3037965c2de9e2915e2ad751cfa31dfc', u'2cb04e36e7836460c98d481f7ea6dfd8', u'01e0dd79c13b3f781de91b3f1e042fc2']",,"{u'6th Grade Health Standard.pdf': {u'stub': True, u'length': 1570922, u'content_type': u'application/pdf', u'revpos': 4, u'digest': u'md5-1B7ugidEzNxdBG8SveM2cQ=='}}",04867f07cb797e610efee86ba76d0f6b,269-700930cb7fd526c32da6560dab0f09bb,admin,2014-04-16T04:00:00.000Z,,,,,,,,,,Resource,English,,0.0,,,,PDF.js,Default,Textbook,,[u'Agriculture'],0.0,,Sixth Grade Health Standard,,nation,2014-04-16T04:00:00.000Z,
23,1397674700104.0,,[u'Upper Secondary'],Text,UNESCO,"[u'cc11a4c42d45448a3448193899aa8f93', u'cc11a4c42d45448a3448193899c0de63', u'3037965c2de9e2915e2ad751cfa31dfc', u'2cb04e36e7836460c98d481f7ea6dfd8']",1996,"{u'Age-Appropriate Education Strategies to Promote Healthy Eating.pdf': {u'stub': True, u'length': 150072, u'content_type': u'application/pdf', u'revpos': 4, u'digest': u'md5-QVQZt1cwlO0EXOStPClF8g=='}}",04867f07cb797e610efee86ba7d7dbf9,7-7c077d5109de9d106a775e3a7330a6ae,admin,2014-04-16T04:00:00.000Z,,,,,,,,,,Resource,English,,0.0,,,,PDF.js,Default,Textbook,,[u'Agriculture'],0.0,,Age-Appropriate Education Strategies to Promote Healthy Eating,,nation,2014-04-16T04:00:00.000Z,
24,1397675001939.0,,"[u'Lower Primary', u'Upper Primary', u'Lower Secondary', u'Upper Secondary', u'Undergraduate', u'Graduate', u'Professional']",Text,,"[u'3037965c2de9e2915e2ad751cfa31dfc', u'1de97ab43cf23df1f0b786f99113c2a7', u'41d96d20b4c87ffd1545b6d4570260d0']",,"{u'Arguments people use against using condoms.pdf': {u'stub': True, u'length': 161144, u'content_type': u'application/pdf', u'revpos': 4, u'digest': u'md5-9GY7CFsqRrcwkBYXZgNlIA=='}}",04867f07cb797e610efee86ba7f19042,6-497b7dc8c4fec745a03c2038848dd8c9,admin,2014-04-16T04:00:00.000Z,,,,,,,,,,Resource,English,,0.0,,,,PDF.js,,,,[u'Health & Medicine'],0.0,,Arguments people use against using condoms,,,2014-04-16T04:00:00.000Z,
25,1397675155140.0,,[u'Professional'],Text,UNESCO,"[u'41d96d20b4c87ffd1545b6d4570222ca', u'3037965c2de9e2915e2ad751cfa31dfc', u'eb711b7a5c824aa8079d06d1816f874b']",2004,"{u'Assembling a Community Advisory Commitee.pdf': {u'stub': True, u'length': 255247, u'content_type': u'application/pdf', u'revpos': 4, u'digest': u'md5-f+LRh38PAvVvBjf/c0BiTA=='}}",04867f07cb797e610efee86ba7fdb747,7-1d443238dd77d57f8638beb5111ec448,admin,2014-04-16T04:00:00.000Z,,,,,,,,,,Resource,English,,0.0,,,,PDF.js,Default,Textbook,,[u'Agriculture'],0.0,,Assembling a Community Advisory Commitee,,nation,2014-04-16T04:00:00.000Z,
26,1397311351244.0,,[u'Early Education'],Text,,[u'2cb04e36e7836460c98d481f7e432192'],,"{u'EngPain.pdf': {u'stub': True, u'length': 76959, u'content_type': u'application/pdf', u'revpos': 7, u'digest': u'md5-PJFB/KCEQviRNjTXYItHzw=='}}",04a159e6e1f1bde124447fd51f6d2d5d,9-b0136c37715d88813ae3a1ea990f9fb4,hailey,2014-01-31T05:00:00.000Z,,Healthy Roads,,Describe your pain,,0.0,,,,Resource,English,,0.0,,,,PDF.js,,,,[u'Health & Medicine'],0.0,,Pain Chart,0.0,,2014-01-31T05:00:00.000Z,
27,1397314097254.0,,[u'Early Education'],Text,,"[u'2cb04e36e7836460c98d481f7e432192', u'cc11a4c42d45448a3448193899ab815b']",,"{u'activeeng.pdf': {u'stub': True, u'length': 157054, u'content_type': u'application/pdf', u'revpos': 7, u'digest': u'md5-vHGkwurQN6lRNRFWrTEK5A=='}}",04a159e6e1f1bde124447fd51f7bbec4,9-7b231176532d302b4bf29eae75f0ddbd,hailey,2014-01-31T05:00:00.000Z,,MN Department of Health,,Information about the disease TB,,0.0,,,,Resource,English,,0.0,,,,PDF.js,,,,[u'Health & Medicine'],0.0,,TB Disease,0.0,,2014-01-31T05:00:00.000Z,
28,1397315857719.0,,[u'Early Education'],Text,,"[u'2cb04e36e7836460c98d481f7e432192', u'cc11a4c42d45448a3448193899ab815b']",,"{u'conatamination_cleaning.pdf': {u'stub': True, u'length': 131519, u'content_type': u'application/pdf', u'revpos': 7, u'digest': u'md5-v2Bku30jOVfMtTp1ivVEEw=='}}",04a159e6e1f1bde124447fd51fae54b8,9-47368f3e7a90d31bed7a9a925bb8b4d5,hailey,2014-01-31T05:00:00.000Z,,US Department of Health,,Information on containing the Flu,,0.0,,,,Resource,English,,0.0,,,,PDF.js,,,,[u'Health & Medicine'],0.0,,The Flu (information),0.0,,2014-01-31T05:00:00.000Z,
29,1391203533119.0,,[u'Early Education'],Text,,,,"{u'CD_Letter_coldsores_SOMALI.pdf': {u'stub': True, u'length': 31470, u'content_type': u'application/pdf', u'revpos': 6, u'digest': u'md5-1e8sdk+pQhIjYboH/3MUnA=='}}",04a159e6e1f1bde124447fd51fc1bc32,8-f20dff5cc4dbbc78d11ec0bd4312e207,hailey,2014-01-31T05:00:00.000Z,,Refugee Health Information Network,,Information on cold sores,,0.0,,,,Resource,English,,0.0,,,,PDF.js,Default,Textbook,,[u'Agriculture'],0.0,,Cold Sores,0.0,nation,2014-01-31T05:00:00.000Z,
30,1391203815262.0,,[u'Early Education'],Text,MN Department of Health,,,"{u'cycphceng.pdf': {u'stub': True, u'length': 182023, u'content_type': u'application/pdf', u'revpos': 6, u'digest': u'md5-38hYFgM1FQ3DgF0deyFrMw=='}}",04a159e6e1f1bde124447fd51fe695fc,8-b0477e907ec5723d8365cbc8abcc8a40,hailey,2014-01-31T05:00:00.000Z,,,,Stop the spread of germs,,0.0,,,,Resource,English,,0.0,,,,PDF.js,Default,Textbook,,[u'Agriculture'],0.0,,Cover Your Cough Poster,0.0,nation,2014-01-31T05:00:00.000Z,
31,1391203964077.0,,All,,,Non Fiction,,"{u'epg2.pdf': {u'stub': True, u'length': 357056, u'content_type': u'application/pdf', u'revpos': 6, u'digest': u'md5-8tfpuWahib5cW4astVJygg=='}}",04a159e6e1f1bde124447fd51ffbe490,7-95dd7da4a9178da7ce6b447205d035d2,hailey,2014-01-31T05:00:00.000Z,,MN Department of Health,,Information on pregnancy nutrition,,0.0,,,,Resource,English,,0.0,,,,PDF.js,,,,HMD (Health & Medicine),0.0,,Pregnancy Nutrition Information,0.0,,2014-01-31T05:00:00.000Z,
32,,,[u'Upper Secondary'],Text,Connexions,"[u'2cb04e36e7836460c98d481f7e3fae68', u'cc11a4c42d45448a344819389961ea30', u'cc11a4c42d45448a344819389961c84f']",2012,"{u'Review of Algebra.pdf': {u'stub': True, u'length': 1024068, u'content_type': u'application/pdf', u'revpos': 3, u'digest': u'md5-1V2Voc64jO9XoPB/NqdJWw=='}}",04c41ed6c9b47c8c55bedbabd096128b,5-3cc198dc2ed2cb19451762343b457da5,admin,2014-08-11T04:00:00.000Z,,Denny Burzynski,,,,,,,,Resource,English,,0.0,,,,PDF.js,Default,Textbook,,[u'Math'],0.0,0.0,Algebra Review Textbook,,nation,2014-08-11T04:00:00.000Z,
33,,,[u'Upper Secondary'],Video,,"[u'41d96d20b4c87ffd1545b6d457033c8d', u'6139f2806e3fe840133b2fbc422ca1e7']",,"{u'Quick guide to creating a marketing plan for your small business.mp4': {u'stub': True, u'length': 7143121, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-abYNouBaOxJrGIcniMhx9Q=='}}",05160870439e6934d49688507f006700,3-1a890d485dda874c12cdb579b26b96b6,admin,2015-10-26T04:00:00.000Z,,Joey Gedgaud,,,,,,,,Resource,English,,,,,,Flow Video Player,Learner,Textbook,,[u'Business and Finance'],0.0,0.0,Quick Guide to Creating a Marketing Plan for Your Small Business,,,2015-10-26T04:00:00.000Z,
34,,,[u'Upper Secondary'],Video,,[u'6139f2806e3fe840133b2fbc422ca1e7'],,"{u'How to Grow Your Small Business Using Social Media and Become Successful.mp4': {u'stub': True, u'length': 20322664, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-rK8J4GttmuQEJumyybYavg=='}}",05160870439e6934d49688507f007568,2-ef394c0e61fc30fca1ca0a0da5406389,admin,2015-10-26T04:00:00.000Z,,Joey Gedgaud,,,,,,,,Resource,English,,,,,,Flow Video Player,Learner,Textbook,,[u'Business and Finance'],0.0,0.0,How to Grow Your Small Business Using Social Media and Become Successful,,,2015-10-26T04:00:00.000Z,
35,,,"[u'Early Education', u'Lower Primary', u'Upper Primary', u'Lower Secondary', u'Upper Secondary', u'Undergraduate', u'Graduate', u'Professional']",Text,,"[u'845ca5617e959d8a09839f5ccab57080', u'2cb04e36e7836460c98d481f7e7aff19', u'cc11a4c42d45448a34481938995eb49d']",1911,"{u'encyclopaediabri29chisrich.pdf': {u'stub': True, u'length': 148101373, u'content_type': u'application/pdf', u'revpos': 4, u'digest': u'md5-6vLLkECKy41PbNSt2AKluA=='}}",05275f41bb3e4fb3c90b4fef0b279dcf,5-2107b1ed7dee2200475a3d0d7d41076e,admin,2014-06-30T04:00:00.000Z,,,,,,,,,,Resource,eng,,0.0,,,,PDF.js,,,,[u'Reference'],0.0,0.0,Encyclopædia Britannica 11 ed. Vol. 29 (Index to List of contributors),,,2014-06-30T04:00:00.000Z,
36,,,[u'Upper Secondary'],Text,,"[u'41d96d20b4c87ffd1545b6d45703504c', u'cc11a4c42d45448a344819389963334d', u'01e0dd79c13b3f781de91b3f1e51839e', u'41d96d20b4c87ffd1545b6d45702290d']",,"{u'GirlRising Human Trafficking - Consider.pdf': {u'stub': True, u'length': 230570, u'content_type': u'application/pdf', u'revpos': 15, u'digest': u'md5-sZ31bSOXhtLoxFAqDw8vfQ=='}}",05d8e3cb608f8e6df367af3105104320,61-b620252b8fe8540b8957a8e5db3f12f1,admin,2014-08-20T04:00:00.000Z,,GirlRising,,,,,,,,Resource,English,,0.0,,,,PDF.js,,,,[u'Social Sciences'],0.0,0.0,Female Trafficking: Discussion,,,2014-08-20T04:00:00.000Z,
